OTU,Sample,Common,Gender,Abundance,Phylum,Class,Order,Family,Genus,Species
ASV56,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,
ASV57,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV58,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV59,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,
ASV6,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV60,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV61,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV62,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV63,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV64,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV65,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV66,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV67,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV68,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV69,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV70,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV71,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV72,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV73,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV74,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,
ASV75,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV77,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV78,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV80,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV81,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,
ASV1,S10,BHC,M,14353,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV3,S10,BHC,M,12002,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV4,S10,BHC,M,10494,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV7,S10,BHC,M,8335,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV2,S10,BHC,M,70,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV10,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV11,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV12,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV13,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV14,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV15,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV16,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV17,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV18,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV19,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV20,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV21,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV22,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV23,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV24,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
